Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Special,Notes
Balance,Head,PreRaid,Spellstrike Hood,Auction House,,,,145 Armor; 16 Sta; 12 Int; 46 Spell Dmg/Heal,,
Balance,Head,PreRaid,Hood of Oblivion,Dungeon Drop,,Arcatraz,Normal,127 Armor; 27 Sta; 32 Int; 40 Spell Dmg/Heal,,Harbinger Skyriss
Balance,Head,PreRaid,Incanter's Cowl,Dungeon Drop,,Mechanar,Normal,127 Armor; 15 Sta; 27 Int; 17 Spi; 29 Spell Dmg/Heal,,Pathaleon the Calculator
Balance,Head,PreRaid,Mana-Binders Cowl,Dungeon Token,,,,151 Armor; 38 Sta; 29 Int; 34 Spell Dmg/Heal,,50 Badges of Justice
Balance,Head,PreRaid,Druidic Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,226 Armor; 12 Sta; 15 Int; 35 Spell Dmg/Heal; 4 MP5,Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley,
Balance,Head,PreRaid,Mag'hari Ritualist's Horns,Quest,Hero of the Mag'har (Nag),,,114 Armor; 18 Sta; 16 Int; 50 Spell Dmg/Heal,,
Balance,Head,PreRaid,Gladiator's Wyrmhide Helm,PvP,,,,356 Armor; 45 Sta; 25 Int; 43 Spell Dmg/Heal; 7 MP5,,
Balance,Shoulder,PreRaid,Incanter's Pauldrons,Dungeon Drop,,Steamvault,Normal,117 Armor; 24 Sta; 17 Int; 16 Spi; 20 Spell Dmg/Heal,,Warlord Kalithresh
Balance,Shoulder,PreRaid,Mana-Etched Spaulders,Dungeon Drop,,Slave Pens,Heroic,117 Armor; 25 Sta; 17 Int; 20 Spell Dmg/Heal; 35 Spell Hit,,Quagmirran
Balance,Shoulder,PreRaid,Mantle of Three Terrors,Dungeon Drop,,Black Morass,Normal,114 Armor; 29 Sta; 25 Int; 29 Spell Dmg/Heal,,Chrono Lord Deja
Balance,Shoulder,PreRaid,Rime Covered Mantle,Dungeon Drop,,Naxxramas,Normal,108 Armor; 12 Sta; 12 Int; 39 Spell Dmg/Heal; 14 Spell Crit,,Gluth
Balance,Shoulder,PreRaid,Spaulders of Oblivion,Dungeon Drop,,Shadow Labyrinth,Normal,117 Armor; 25 Sta; 17 Int; 29 Spell Dmg/Heal,,Murmur
Balance,Shoulder,PreRaid,Elekk Hide Spaulders,Quest,The Fallen Exarch (TF),,,173 Armor; 12 Int; 16 Spi; 25 Spell Dmg/Heal,,
