Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Beast Mastery,Head,PreRaid,Mask of Veiled Death,Auction House,,,,220 Armor; 80 AP; 19 Hit; 30 Crit,World Drop
Beast Mastery,Head,PreRaid,Beast Lord Helm,Dungeon Drop,,Mechanar,Normal,530 Armor; 25 Agi; 21 Sta; 22 Int; 50 AP,Pathaleon the Calculator
Beast Mastery,Head,PreRaid,Mok'Nathal Beast-Mask,Dungeon Drop,,Auchenai Crypts,Normal,463 Armor; 23 Agi; 22 Sta; 15 Int; 44 AP,Exarch Maladaar
Beast Mastery,Head,PreRaid,Cryptstalker Headpiece,Quest,Cryptstalker Headpiece (Naxx),,,513 Armor; 21 Agi; 30 Sta; 12 Int; 40 AP; 3 MP5; 28 Crit,
Beast Mastery,Head,PreRaid,Stalker's Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"503 Armor; 31 Agi; 12 Sta; 8 Int; 60 AP; 4 MP5

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley",
Beast Mastery,Head,PreRaid,Stealther's Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"226 Armor; 24 Agi; 18 Sta; 60 AP; 13 Hit

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley",
Beast Mastery,Shoulder,PreRaid,Beast Lord Mantle,Dungeon Drop,,Steamvault,Normal,489 Armor; 25 Agi; 4 Sta; 12 Int; 34 AP; 5 MP5,Warlord Kalithresh
Beast Mastery,Shoulder,PreRaid,Mantle of Perenolde,Dungeon Drop,,Old Hillsbrad Foothills,Normal,197 Armor; 24 Sta; 20 AP; 23 Hit; 23 Crit,Epoch Hunter
Beast Mastery,Shoulder,PreRaid,Wastewalker Shoulderpads,Dungeon Drop,,Auchenai Crypts,Heroic,219 Armor; 25 Agi; 13 Sta; 34 AP; 16 Hit,Avatar of the Martyred
Beast Mastery,Shoulder,PreRaid,Cryptstalker Spaulders,Quest,Cryptstalker Spaulders (Naxx),,,464 Armor; 20 Agi; 23 Sta; 10 Int; 38 AP; 14 Crit,
Beast Mastery,Shoulder,PreRaid,Expedition Scout's Epaulets,Quest (Dung),Fel Embers (SH),,,217 Armor; 25 Agi; 50 AP; 24 Hit,
Beast Mastery,Back,PreRaid,Cloak of the Craft,Auction House,,,,70 Armor; 25 Agi; 20 AP; 13 Hit,World Drop
Beast Mastery,Back,PreRaid,Vengeance Wrap,Auction House,,,,89 Armor; 52 AP; 23 Crit,
Beast Mastery,Back,PreRaid,Auchenai Death Shroud,Dungeon Drop,,Auchenai Crypts,Heroic,78 Armor; 15 Agi; 15 Sta; 36 AP; 17 Hit,Avatar of the Martyred
Beast Mastery,Back,PreRaid,Cloak of the Inciter,Dungeon Drop,,Shadow Labyrinth,Normal,76 Armor; 15 Sta; 30 AP; 16 Hit; 18 Crit,Blackheart the Inciter
Beast Mastery,Back,PreRaid,Blood Knight War Cloak,Dungeon Token,,,,93 Armor; 23 Agi; 22 Sta; 48 AP,25 Badges of Justice
Beast Mastery,Chest,PreRaid,Ebon Netherscale Breastplate,Auction House,,,,846 Armor; 4 Agi; 25 Sta; 23 Int; 80 AP; 8 MP5; 20 Hit; 31 Crit,
Beast Mastery,Chest,PreRaid,Primalstrike Vest,Auction House,,,,379 Armor; 38 Agi; 39 Sta; 108 AP; 12 Hit,
Beast Mastery,Chest,PreRaid,Beast Lord Cuirass,Dungeon Drop,,Botanica,Normal,652 Armor; 20 Agi; 30 Sta; 24 Int; 40 AP; 4 MP5,Warp Splinter
Beast Mastery,Chest,PreRaid,Cryptstalker Tunic,Quest,Cryptstalker Tunic (Naxx),,,658 Armor; 30 Agi; 27 Sta; 15 Int; 60 AP; 4 MP5; 10 Hit; 14 Crit,
Beast Mastery,Chest,PreRaid,Hauberk of Karabor,Quest,Varedis Must Be Stopped (SMV),,,278 Armor; 25 Agi; 18 Sta; 90 AP; 12 Hit,
Beast Mastery,Wrist,PreRaid,Ebon Netherscale Bracers,Auction House,,,,325 Armor; 2 Agi; 25 Sta; 8 Int; 38 AP; 5 MP5; 20 Hit; 17 Crit,
Beast Mastery,Wrist,PreRaid,Felstalker Bracers,Auction House,,,,283 Armor; 18 Agi; 3 Sta; 11 Int; 38 AP; 20 Hit,
Beast Mastery,Wrist,PreRaid,Primalstrike Bracers,Auction House,,,,159 Armor; 15 Agi; 21 Sta; 64 AP,
Beast Mastery,Wrist,PreRaid,Nightfall Wristguards,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,153 Armor; 24 Agi; 22 Sta; 46 AP,Epoch Hunter
Beast Mastery,Wrist,PreRaid,Cryptstalker Wristguards,Quest,Cryptstalker Wristguards (Naxx),,,276 Armor; 18 Agi; 16 Sta; 34 AP; 10 Hit,
Beast Mastery,Hands,PreRaid,Beast Lord Handguards,Dungeon Drop,,Shattered Halls,Normal,407 Armor; 25 Agi; 12 Sta; 17 Int; 34 AP,Warchief Kargath Bladefist
Beast Mastery,Hands,PreRaid,Ar'tor's Mainstay,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,387 Armor; 18 Agi; 11 Int; 68 AP; 3 MP5,
Beast Mastery,Hands,PreRaid,Cryptstalker Handguards,Quest,Cryptstalker Handguards (Naxx),,,395 Armor; 16 Agi; 21 Sta; 15 Int; 32 AP; 4 MP5; 14 Crit,
