Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Arcane,Head,PreRaid,Spellstrike Hood,Auction House,,,,145 Armor; 16 Sta; 12 Int; 46 Healing; 46 Spell Dmg; 16 Spell Hit; 24 Spell Crit,
Arcane,Head,PreRaid,Hood of Oblivion,Dungeon Drop,,Arcatraz,Normal,127 Armor; 27 Sta; 32 Int; 40 Healing; 40 Spell Dmg,Harbinger Skyriss
Arcane,Head,PreRaid,Incanter's Cowl,Dungeon Drop,,Mechanar,Normal,127 Armor; 15 Sta; 27 Int; 17 Spi; 29 Healing; 29 Spell Dmg; 19 Spell Crit,Pathaleon the Calculator
Arcane,Head,PreRaid,Mana-Etched Crown,Dungeon Drop,,Black Morass,Normal,"127 Armor; 27 Sta; 20 Int; 34 Healing; 34 Spell Dmg; 35 Spell Hit

Equip: Increases your spell penetration by 15",Aeonus
Arcane,Head,PreRaid,"Mish'undare, Circlet of the Mind Flayer",Dungeon Drop,,Blackwing Lair,Normal,117 Armor; 15 Sta; 24 Int; 9 Spi; 35 Healing; 35 Spell Dmg; 28 Spell Crit,Nefarian
Arcane,Head,PreRaid,Mana-Binders Cowl,Dungeon Token,,,,151 Armor; 38 Sta; 29 Int; 34 Healing; 34 Spell Dmg; 15 Spell Crit,50 Badges of Justice
Arcane,Head,PreRaid,Evoker's Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"120 Armor; 12 Sta; 15 Int; 8 Spi; 35 Healing; 35 Spell Dmg; 24 Spell Crit

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley",
Arcane,Head,PreRaid,Frostfire Circlet,Quest,Frostfire Circlet (Naxx),,,123 Armor; 22 Sta; 23 Int; 35 Healing; 35 Spell Dmg; 8 Spell Hit; 28 Spell Crit,
Arcane,Head,PreRaid,Mag'hari Ritualist's Horns,Quest,Hero of the Mag'har (Nag),,,114 Armor; 18 Sta; 16 Int; 50 Healing; 50 Spell Dmg; 12 Spell Hit; 15 Spell Crit,
Arcane,Shoulder,PreRaid,Mana-Etched Spaulders,Dungeon Drop,,Slave Pens,Heroic,117 Armor; 25 Sta; 17 Int; 20 Healing; 20 Spell Dmg; 35 Spell Hit; 16 Spell Crit,Quagmirran
Arcane,Shoulder,PreRaid,Mantle of Three Terrors,Dungeon Drop,,Black Morass,Normal,114 Armor; 29 Sta; 25 Int; 29 Healing; 29 Spell Dmg; 12 Spell Hit,Chrono Lord Deja
Arcane,Shoulder,PreRaid,Rime Covered Mantle,Dungeon Drop,,Naxxramas,Normal,108 Armor; 12 Sta; 12 Int; 39 Healing; 39 Spell Dmg; 14 Spell Crit,Gluth
Arcane,Shoulder,PreRaid,Spaulders of Oblivion,Dungeon Drop,,Shadow Labyrinth,Normal,117 Armor; 25 Sta; 17 Int; 29 Healing; 29 Spell Dmg,Murmur
Arcane,Shoulder,PreRaid,Frostfire Shoulderpads,Quest,Frostfire Shoulderpads (Naxx),,,111 Armor; 17 Sta; 18 Int; 9 Spi; 36 Healing; 36 Spell Dmg,
Arcane,Shoulder,PreRaid,Spaulders of the Torn-heart,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,111 Armor; 10 Sta; 7 Int; 8 Spi; 40 Healing; 40 Spell Dmg; 18 Spell Crit,
Arcane,Shoulder,PreRaid,Evoker's Silk Amice,Reputation,,,,117 Armor; 21 Sta; 16 Int; 25 Healing; 25 Spell Dmg; 8 Spell Crit; 15 Resilience,Thrallmar - Honored
Arcane,Shoulder,PreRaid,High Warlord's Silk Amice,PvP,,,,117 Armor; 21 Sta; 16 Int; 25 Healing; 25 Spell Dmg; 8 Spell Crit; 15 Resilience,
Arcane,Back,PreRaid,Cloak of Entropy,Auction House,,,,61 Armor; 11 Int; 25 Healing; 25 Spell Dmg; 10 Spell Hit,World Drop
Arcane,Back,PreRaid,Cloak of the Black Void,Auction House,,,,76 Armor; 11 Int; 35 Healing; 35 Spell Dmg,
Arcane,Back,PreRaid,Cloak of the Devoured,Dungeon Drop,,Ahn'Qiraj,Normal,76 Armor; 11 Sta; 10 Int; 30 Healing; 30 Spell Dmg; 8 Spell Hit,C'Thun
Arcane,Back,PreRaid,Cloak of the Necropolis,Dungeon Drop,,Naxxramas,Normal,77 Armor; 12 Sta; 11 Int; 26 Healing; 26 Spell Dmg; 8 Spell Hit; 14 Spell Crit,Sapphiron
Arcane,Back,PreRaid,Sethekk Oracle Cloak,Dungeon Drop,,Sethekk Halls,Normal,78 Armor; 18 Sta; 18 Int; 22 Healing; 22 Spell Dmg; 12 Spell Hit,Talon King Ikiss
Arcane,Back,PreRaid,Shawl of Shifting Probabilities,Dungeon Token,,,,93 Armor; 18 Sta; 16 Int; 21 Healing; 21 Spell Dmg; 22 Spell Crit,25 Badges of Justice
Arcane,Back,PreRaid,Cloak of Woven Energy,Quest,Hitting the Motherlode (NS),,,72 Armor; 6 Sta; 13 Int; 3 Spi; 29 Healing; 29 Spell Dmg; 6 Spell Crit,
Arcane,Back,PreRaid,Ogre Slayer's Cover,Quest,Cho'war the Pillager (Nag),,,68 Armor; 18 Int; 11 Spi; 20 Healing; 20 Spell Dmg; 16 Spell Crit,
Arcane,Chest,PreRaid,Robe of the Crimson Order,Auction House,,,,152 Armor; 23 Int; 50 Healing; 50 Spell Dmg; 30 Spell Hit,World Drop
Arcane,Chest,PreRaid,Spellfire Robe,Auction House,,,,"178 Armor; 4 Sta; 17 Int; 28 Spell Crit

Equip: Increases damage done by Fire spells and effects by up to 72;
Equip: Increases damage done by Arcane spells and effects by up to 72",
Arcane,Chest,PreRaid,Will of Edward the Odd,Auction House,,,,170 Armor; 30 Int; 53 Healing; 53 Spell Dmg; 30 Spell Crit,World Drop
Arcane,Chest,PreRaid,Mana-Etched Vestments,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,156 Armor; 25 Sta; 25 Int; 29 Healing; 29 Spell Dmg; 35 Spell Hit; 17 Spell Crit,Epoch Hunter
Arcane,Chest,PreRaid,Robe of Oblivion,Dungeon Drop,,Shadow Labyrinth,Normal,156 Armor; 30 Sta; 20 Int; 40 Healing; 40 Spell Dmg,Murmur
Arcane,Chest,PreRaid,Warp Infused Drape,Dungeon Drop,,Botanica,Normal,156 Armor; 27 Sta; 28 Int; 30 Healing; 30 Spell Dmg; 12 Spell Hit,Warp Splinter
Arcane,Chest,PreRaid,Frostfire Robe,Quest,Frostfire Robe (Naxx),,,"158 Armor; 21 Sta; 27 Int; 47 Healing; 47 Spell Dmg; 8 Spell Hit; 14 Spell Crit

Equip: Increases your spell penetration by 15",
Arcane,Chest,PreRaid,Kirin Tor Apprentice's Robes,Quest,Destroy Naberius! (NS),,,148 Armor; 19 Sta; 26 Int; 17 Spi; 40 Healing; 40 Spell Dmg; 14 Spell Hit,
Arcane,Chest,PreRaid,Shadowcast Tunic,Quest,Drill the Drillmaster (HFP),,,122 Armor; 21 Sta; 15 Int; 44 Healing; 44 Spell Dmg; 14 Spell Crit,
Arcane,Chest,PreRaid,Auchenai Anchorite's Robe,Quest (Dung),Everything Will Be Alright (AC),,,136 Armor; 24 Int; 28 Healing; 28 Spell Dmg; 23 Spell Hit,
