Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Holy,Head,PreRaid,Living Dragonscale Helm,Auction House,,,,604 Armor; 19 Sta; 31 Int; 108 Spell Dmg/Heal; 81 Healing; 27 Spell Dmg; 14 MP5,
Holy,Head,PreRaid,Whitemend Hood,Auction House,,,,145 Armor; 15 Sta; 15 Int; 106 Spell Dmg/Heal; 79 Healing; 27 Spell Dmg; 11 MP5,
Holy,Head,PreRaid,Hallowed Crown,Dungeon Drop,,Arcatraz,Normal,127 Armor; 12 Sta; 24 Int; 26 Spi; 76 Spell Dmg/Heal; 57 Healing; 19 Spell Dmg,Harbinger Skyriss
Holy,Head,PreRaid,Headdress of the Tides,Dungeon Drop,,Underbog,Normal,530 Armor; 30 Sta; 35 Int; 98 Spell Dmg/Heal; 73 Healing; 25 Spell Dmg; 9 MP5,Ghaz'an
Holy,Head,PreRaid,Moonglade Cowl,Dungeon Drop,,Botanica,Normal,237 Armor; 24 Str; 8 Agi; 18 Sta; 25 Int; 13 Spi; 71 Spell Dmg/Heal; 53 Healing; 18 Spell Dmg,Warp Splinter
Holy,Head,PreRaid,Helmet of the Steadfast Champion,Dungeon Token,,,,1129 Armor; 36 Sta; 24 Int; 94 Spell Dmg/Heal; 70 Healing; 24 Spell Dmg; 10 MP5,50 Badges of Justice
Holy,Head,PreRaid,Storm Master's Helmet,Dungeon Token,,,,632 Armor; 24 Sta; 32 Int; 37 Healing; 37 Spell Dmg,50 Badges of Justice
Holy,Head,PreRaid,Metallic Headband of Simm'onz,Quest,Forge Camp: Annihilated (Nag),,,476 Armor; 45 Sta; 91 Spell Dmg/Heal; 68 Healing; 23 Spell Dmg; 12 MP5,
Holy,Head,PreRaid,Redemption Headpiece,Quest,Redemption Headpiece (Naxx),,,913 Armor; 28 Sta; 26 Int; 86 Spell Dmg/Heal; 64 Healing; 22 Spell Dmg; 8 MP5; 14 Spell Crit,
Holy,Shoulder,PreRaid,Primal Mooncloth Shoulders,Auction House,,,,133 Armor; 16 Int; 15 Spi; 123 Spell Dmg/Heal; 92 Healing; 31 Spell Dmg; 7 MP5,
Holy,Shoulder,PreRaid,Hallowed Pauldrons,Dungeon Drop,,Shadow Labyrinth,Normal,117 Armor; 10 Sta; 17 Int; 20 Spi; 56 Spell Dmg/Heal; 42 Healing; 14 Spell Dmg,Grandmaster Vorpil
Holy,Shoulder,PreRaid,Justice Bearer's Pauldrons,Dungeon Drop,,Hellfire Ramparts,Heroic,873 Armor; 25 Sta; 25 Int; 74 Spell Dmg/Heal; 55 Healing; 19 Spell Dmg; 7 MP5,Omor the Unscarred
