Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Holy,Head,PreRaid,Whitemend Hood,Auction House,,,,145 Armor; 15 Sta; 15 Int; 79 Healing; 27 Spell Dmg; 11 MP5,
Holy,Head,PreRaid,Hallowed Crown,Dungeon Drop,,Arcatraz,Normal,127 Armor; 12 Sta; 24 Int; 26 Spi; 57 Healing; 19 Spell Dmg,Harbinger Skyriss
Holy,Head,PreRaid,Scintillating Headdress of Second Sight,Dungeon Drop,,Auchenai Crypts,Heroic,127 Armor; 24 Sta; 27 Int; 32 Spi; 73 Healing; 25 Spell Dmg,Shirrak the Dead Watcher
Holy,Head,PreRaid,Cowl of Naaru Blessings,Dungeon Token,,,,151 Armor; 28 Sta; 29 Int; 23 Spi; 66 Healing; 22 Spell Dmg,50 Badges of Justice
Holy,Head,PreRaid,Circlet of Faith,Quest,Circlet of Faith (Naxx),,,123 Armor; 22 Sta; 22 Int; 22 Spi; 75 Healing; 25 Spell Dmg; 5 MP5,
Holy,Head,PreRaid,Evoker's Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"120 Armor; 12 Sta; 15 Int; 8 Spi; 35 Healing; 35 Spell Dmg

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley",
Holy,Head,PreRaid,Watcher's Cowl,Reputation,,,,127 Armor; 21 Sta; 36 Int; 14 Spi; 79 Healing; 27 Spell Dmg,Cenarion Expedition - Revered
Holy,Shoulder,PreRaid,Primal Mooncloth Shoulders,Auction House,,,,133 Armor; 16 Int; 15 Spi; 92 Healing; 31 Spell Dmg; 7 MP5,
Holy,Shoulder,PreRaid,Hallowed Pauldrons,Dungeon Drop,,Shadow Labyrinth,Normal,117 Armor; 10 Sta; 17 Int; 20 Spi; 42 Healing; 14 Spell Dmg,Grandmaster Vorpil
Holy,Shoulder,PreRaid,Pauldrons of Sufferance,Dungeon Drop,,Old Hillsbrad Foothills,Normal,105 Armor; 18 Sta; 13 Int; 19 Spi; 35 Healing; 12 Spell Dmg,Epoch Hunter
Holy,Shoulder,PreRaid,Vestia's Pauldrons of Inner Grace,Dungeon Drop,,Mechanar,Normal,117 Armor; 24 Sta; 25 Int; 48 Healing; 16 Spell Dmg; 8 MP5,The Gatewatchers
Holy,Shoulder,PreRaid,Shoulderpads of Faith,Quest,Shoulderpads of Faith (Naxx),,,111 Armor; 17 Sta; 18 Int; 17 Spi; 51 Healing; 17 Spell Dmg; 3 MP5,
Holy,Back,PreRaid,Lifegiving Cloak,Auction House,,,,85 Armor; 13 Int; 64 Healing; 22 Spell Dmg; 5 MP5,World Drop
Holy,Back,PreRaid,White Remedy Cape,Auction House,,,,76 Armor; 59 Healing; 20 Spell Dmg; 7 MP5,
Holy,Back,PreRaid,Cloak of Scintillating Auras,Dungeon Drop,,Arcatraz,Normal,78 Armor; 12 Sta; 16 Int; 18 Spi; 42 Healing; 14 Spell Dmg,Zereketh the Unbound
Holy,Back,PreRaid,Cloak of Whispering Shells,Dungeon Drop,,Steamvault,Normal,76 Armor; 15 Sta; 16 Int; 40 Healing; 14 Spell Dmg; 4 MP5,Hydromancer Thespia
Holy,Back,PreRaid,Light-Touched Stole of Altruism,Dungeon Drop,,Auchenai Crypts,Heroic,93 Armor; 22 Sta; 21 Int; 55 Healing; 19 Spell Dmg,Exarch Maladaar
Holy,Back,PreRaid,Bishop's Cloak,Dungeon Token,,,,93 Armor; 16 Sta; 17 Int; 46 Healing; 16 Spell Dmg; 8 MP5,25 Badges of Justice
Holy,Chest,PreRaid,Primal Mooncloth Robe,Auction House,,,,202 Armor; 20 Int; 20 Spi; 121 Healing; 41 Spell Dmg; 10 MP5,
Holy,Chest,PreRaid,Hallowed Garments,Dungeon Drop,,Shadow Labyrinth,Normal,156 Armor; 12 Sta; 26 Int; 26 Spi; 57 Healing; 19 Spell Dmg,Murmur
Holy,Chest,PreRaid,Raiments of Divine Authority,Dungeon Drop,,Blood Furnace,Normal,122 Armor; 16 Sta; 21 Int; 18 Spi; 46 Healing; 16 Spell Dmg,Keli'dan the Breaker
Holy,Chest,PreRaid,Robe of Effervescent Light,Dungeon Drop,,Blood Furnace,Heroic,156 Armor; 25 Sta; 33 Int; 18 Spi; 73 Healing; 25 Spell Dmg; 7 MP5,Keli'dan the Breaker
Holy,Chest,PreRaid,Robe of Faith,Quest,Robe of Faith (Naxx),,,158 Armor; 26 Sta; 27 Int; 21 Spi; 64 Healing; 22 Spell Dmg; 5 MP5,
Holy,Wrist,PreRaid,Bracers of Havok,Auction House,,,,67 Armor; 12 Int; 30 Healing; 30 Spell Dmg,
Holy,Wrist,PreRaid,Bands of the Benevolent,Dungeon Drop,,Sethekk Halls,Heroic,81 Armor; 18 Sta; 20 Int; 18 Spi; 46 Healing; 16 Spell Dmg,Talon King Ikiss
Holy,Wrist,PreRaid,Bracelets of Royal Redemption,Dungeon Drop,,Ahn'Qiraj,Normal,61 Armor; 8 Sta; 10 Int; 9 Spi; 53 Healing; 18 Spell Dmg,Emperor Vek'nilash
Holy,Wrist,PreRaid,Bindings of Faith,Quest,Bindings of Faith (Naxx),,,66 Armor; 11 Sta; 15 Int; 17 Spi; 40 Healing; 14 Spell Dmg,
Holy,Wrist,PreRaid,Shattrath Wraps,Quest (Dung),The Soul Devices (SL),,,68 Armor; 15 Sta; 15 Int; 21 Healing; 21 Spell Dmg,
Holy,Wrist,PreRaid,Bindings of the Timewalker,Reputation,,,,78 Armor; 24 Sta; 12 Int; 64 Healing; 22 Spell Dmg,Keepers of Time - Exalted
