Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Affliction,Head,PreRaid,Spellstrike Hood,Auction House,,,,"145 Armor; 16 Sta; 12 Int; 46 Healing; 46 Spell Dmg; 16 Spell Hit; 24 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 46",
Affliction,Head,PreRaid,Hood of Oblivion,Dungeon Drop,,Arcatraz,Normal,"127 Armor; 27 Sta; 32 Int; 40 Healing; 40 Spell Dmg

Equip: Increases damage and healing done by magical spells and effects by up to 40",Harbinger Skyriss
Affliction,Head,PreRaid,Incanter's Cowl,Dungeon Drop,,Mechanar,Normal,"127 Armor; 15 Sta; 27 Int; 17 Spi; 29 Healing; 29 Spell Dmg; 19 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 29",Pathaleon the Calculator
Affliction,Head,PreRaid,Evoker's Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"120 Armor; 12 Sta; 15 Int; 8 Spi; 35 Healing; 35 Spell Dmg; 24 Spell Crit

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley;
Equip: Increases damage and healing done by magical spells and effects by up to 35",
Affliction,Head,PreRaid,Mag'hari Ritualist's Horns,Quest,Hero of the Mag'har (Nag),,,"114 Armor; 18 Sta; 16 Int; 50 Healing; 50 Spell Dmg; 12 Spell Hit; 15 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 50",
Affliction,Shoulder,PreRaid,Frozen Shadoweave Shoulders,Auction House,,,,"133 Armor; 21 Sta; 15 Int

Equip: Increases damage done by Shadow spells and effects by up to 50;
Equip: Increases damage done by Frost spells and effects by up to 50",
Affliction,Shoulder,PreRaid,Mana-Etched Spaulders,Dungeon Drop,,Slave Pens,Heroic,"117 Armor; 25 Sta; 17 Int; 20 Healing; 20 Spell Dmg; 35 Spell Hit; 16 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 20",Quagmirran
Affliction,Shoulder,PreRaid,Mantle of Three Terrors,Dungeon Drop,,Black Morass,Normal,"114 Armor; 29 Sta; 25 Int; 29 Healing; 29 Spell Dmg; 12 Spell Hit

Equip: Increases damage and healing done by magical spells and effects by up to 29",Chrono Lord Deja
Affliction,Shoulder,PreRaid,Plagueheart Shoulderpads,Quest,Plagueheart Shoulderpads (Naxx),,,"111 Armor; 22 Sta; 12 Int; 36 Healing; 36 Spell Dmg; 8 Spell Hit

Equip: Increases your spell hit rating by 8;
Equip: Increases damage and healing done by magical spells and effects by up to 36",
Affliction,Shoulder,PreRaid,Spaulders of the Torn-heart,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,"111 Armor; 10 Sta; 7 Int; 8 Spi; 40 Healing; 40 Spell Dmg; 18 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 40",
Affliction,Back,PreRaid,Cloak of Entropy,Auction House,,,,"61 Armor; 11 Int; 25 Healing; 25 Spell Dmg; 10 Spell Hit

Equip: Increases damage and healing done by magical spells and effects by up to 25",World Drop
Affliction,Back,PreRaid,Cloak of the Devoured,Dungeon Drop,,Ahn'Qiraj,Normal,"76 Armor; 11 Sta; 10 Int; 30 Healing; 30 Spell Dmg; 8 Spell Hit

Equip: Increases damage and healing done by magical spells and effects by up to 30;
Equip: Increases your spell hit rating by 8",C'Thun
Affliction,Back,PreRaid,Cloak of the Necropolis,Dungeon Drop,,Naxxramas,Normal,"77 Armor; 12 Sta; 11 Int; 26 Healing; 26 Spell Dmg; 8 Spell Hit; 14 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 26;
Equip: Increases your spell critical strike rating by 14;
Equip: Increases your spell hit rating by 8",Sapphiron
Affliction,Back,PreRaid,Sethekk Oracle Cloak,Dungeon Drop,,Sethekk Halls,Normal,"78 Armor; 18 Sta; 18 Int; 22 Healing; 22 Spell Dmg; 12 Spell Hit

Equip: Increases damage and healing done by magical spells and effects by up to 22",Talon King Ikiss
Affliction,Chest,PreRaid,Frozen Shadoweave Robe,Auction House,,,,"178 Armor; 30 Sta; 20 Int

Equip: Increases damage done by Shadow spells and effects by up to 72;
Equip: Increases damage done by Frost spells and effects by up to 72",
Affliction,Chest,PreRaid,Robe of the Crimson Order,Auction House,,,,"152 Armor; 23 Int; 50 Healing; 50 Spell Dmg; 30 Spell Hit

Equip: Increases damage and healing done by magical spells and effects by up to 50",World Drop
Affliction,Chest,PreRaid,Mana-Etched Vestments,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,"156 Armor; 25 Sta; 25 Int; 29 Healing; 29 Spell Dmg; 35 Spell Hit; 17 Spell Crit

Equip: Increases damage and healing done by magical spells and effects by up to 29",Epoch Hunter
Affliction,Chest,PreRaid,Robe of Oblivion,Dungeon Drop,,Shadow Labyrinth,Normal,"156 Armor; 30 Sta; 20 Int; 40 Healing; 40 Spell Dmg

Equip: Increases damage and healing done by magical spells and effects by up to 40",Murmur
Affliction,Chest,PreRaid,Plagueheart Robe,Quest,Plagueheart Robe (Naxx),,,"158 Armor; 27 Sta; 22 Int; 51 Healing; 51 Spell Dmg; 8 Spell Hit; 14 Spell Crit

Equip: Increases your spell hit rating by 8;
Equip: Increases damage and healing done by magical spells and effects by up to 51;
Equip: Increases your spell critical strike rating by 14",
