Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Arms,Head,PreRaid,Helm of Assassination,Dungeon Drop,,Arcatraz,Normal,237 Armor; 25 Sta; 66 AP; 25 Crit,Harbinger Skyriss
Arms,Head,PreRaid,Mask of the Deceiver,Dungeon Token,,,,283 Armor; 32 Agi; 36 Sta; 64 AP; 16 Hit,50 Badges of Justice
Arms,Head,PreRaid,Overlord's Helmet of Second Sight,Quest,"Teron Gorefiend, I am... (SMV)",,,"898 Armor; 29 Str; 22 Sta; 13 Hit; 24 Crit

Equip: Allows the bearer to see into the ghost world while in Shadowmoon Valley",
Arms,Head,PreRaid,Helm of the Claw,Quest (Dung),The Warlord's Hideout (SV),,,237 Armor; 25 Agi; 21 Sta; 66 AP; 14 Hit,
Arms,Shoulder,PreRaid,Ragesteel Shoulders,Auction House,,,,873 Armor; 32 Str; 12 Sta; 9 Hit; 17 Crit,
Arms,Shoulder,PreRaid,Mantle of Perenolde,Dungeon Drop,,Old Hillsbrad Foothills,Normal,197 Armor; 24 Sta; 20 AP; 23 Hit; 23 Crit,Epoch Hunter
Arms,Shoulder,PreRaid,Spaulders of Slaughter,Dungeon Drop,,Shattered Halls,Heroic,873 Armor; 30 Str; 22 Sta; 27 Crit,Blood Guard Porung
Arms,Shoulder,PreRaid,Wastewalker Shoulderpads,Dungeon Drop,,Auchenai Crypts,Heroic,219 Armor; 25 Agi; 13 Sta; 34 AP; 16 Hit,Avatar of the Martyred
Arms,Back,PreRaid,Shroud of Frenzy,Auction House,,,,63 Armor; 21 Str; 16 Crit,World Drop
Arms,Back,PreRaid,Vengeance Wrap,Auction House,,,,89 Armor; 52 AP; 23 Crit,
Arms,Back,PreRaid,Cloak of the Inciter,Dungeon Drop,,Shadow Labyrinth,Normal,76 Armor; 15 Sta; 30 AP; 16 Hit; 18 Crit,Blackheart the Inciter
Arms,Back,PreRaid,Netherfury Cape,Dungeon Drop,,Botanica,Normal,78 Armor; 19 Str; 19 Sta; 21 Crit,Warp Splinter
Arms,Back,PreRaid,Shroud of Dominion,Dungeon Drop,,Naxxramas,Normal,77 Armor; 11 Sta; 50 AP; 14 Crit,Sapphiron
Arms,Back,PreRaid,Blood Knight War Cloak,Dungeon Token,,,,93 Armor; 23 Agi; 22 Sta; 48 AP,25 Badges of Justice
Arms,Chest,PreRaid,Chestguard of Exile,Auction House,,,,1268 Armor; 44 Str; 33 Sta; 36 Crit,World Drop
Arms,Chest,PreRaid,Ragesteel Breastplate,Auction House,,,,1164 Armor; 50 Str; 29 Crit,
Arms,Chest,PreRaid,Doomplate Chestguard,Dungeon Drop,,Arcatraz,Normal,1164 Armor; 30 Str; 27 Sta; 19 Crit,Harbinger Skyriss
Arms,Chest,PreRaid,Chestplate of A'dal,Quest,Special Delivery to Shattrath City (Shattrath City),,,1106 Armor; 35 Str; 27 Sta; 22 Hit; 25 Crit,
Arms,Chest,PreRaid,The Exarch's Protector,Quest (Dung),Everything Will Be Alright (AC),,,1018 Armor; 30 Str; 6 Sta; 23 Defense; 18 Crit,
Arms,Wrist,PreRaid,Black Felsteel Bracers,Auction House,,,,581 Armor; 26 Str; 15 Sta; 22 Crit,
Arms,Wrist,PreRaid,Nightfall Wristguards,Dungeon Drop,,Old Hillsbrad Foothills,Heroic,153 Armor; 24 Agi; 22 Sta; 46 AP,Epoch Hunter
Arms,Wrist,PreRaid,Wristguards of Vengeance,Dungeon Drop,,Naxxramas,Normal,465 Armor; 24 Str; 10 Sta; 14 Crit,Anub'Rekhan
Arms,Wrist,PreRaid,Aged Leather Bindings,Quest,The Great Retribution (SMV),,,115 Armor; 40 AP; 20 Crit,
Arms,Wrist,PreRaid,Marshal's Plate Bracers,PvP,,,,624 Armor; 19 Str; 25 Sta; 14 Crit; 14 Resilience,
Arms,Hands,PreRaid,Fel Leather Gloves,Auction House,,,,169 Armor; 36 AP; 17 Hit; 24 Crit,
Arms,Hands,PreRaid,Ragesteel Gloves,Auction House,,,,728 Armor; 35 Str; 27 Crit,
Arms,Hands,PreRaid,Doomplate Gauntlets,Dungeon Drop,,Blood Furnace,Heroic,728 Armor; 31 Str; 25 Sta,Keli'dan the Breaker
Arms,Hands,PreRaid,Gauntlets of Annihilation,Dungeon Drop,,Ahn'Qiraj,Normal,702 Armor; 35 Str; 15 Sta; 10 Hit; 14 Crit,C'Thun
Arms,Hands,PreRaid,Flesh Handler's Gauntlets,Quest,The Flesh Lies... (NS),,,165 Armor; 18 Str; 17 Agi; 27 Sta; 18 Expertise,
Arms,Waist,PreRaid,Deathforge Girdle,Dungeon Drop,,Sethekk Halls,Normal,655 Armor; 22 Str; 3 Agi; 25 Sta; 20 Crit,Talon King Ikiss
Arms,Waist,PreRaid,Girdle of the Deathdealer,Dungeon Drop,,Black Morass,Heroic,196 Armor; 28 Agi; 28 Sta; 56 AP; 20 Hit,Aeonus
Arms,Waist,PreRaid,Girdle of the Mentor,Dungeon Drop,,Naxxramas,Normal,612 Armor; 21 Str; 20 Agi; 21 Sta; 10 Hit; 14 Crit,Instructor Razuvious
Arms,Waist,PreRaid,Rune-Engraved Belt,Quest (Dung),Fel Embers (SH),,,364 Armor; 25 Agi; 50 AP; 24 Hit,
Arms,Waist,PreRaid,Shattrath's Champion Belt,Quest (Dung),How to Break Into the Arcatraz (TK),,,367 Armor; 22 Int; 50 AP; 15 Hit; 21 Crit,
Arms,Waist,PreRaid,Marshal's Plate Belt,PvP,,,,870 Armor; 27 Str; 40 Sta; 27 Crit; 27 Resilience,
Arms,Legs,PreRaid,Fel Leather Leggings,Auction House,,,,249 Armor; 52 AP; 25 Hit; 25 Crit,
Arms,Legs,PreRaid,Midnight Legguards,Dungeon Drop,,Slave Pens,Heroic,305 Armor; 30 Sta; 64 AP; 17 Hit; 27 Crit,Quagmirran
Arms,Legs,PreRaid,Vanquisher's Legplates,Dungeon Drop,,Mechanar,Heroic,1216 Armor; 36 Str; 36 Sta; 23 Crit,Pathaleon the Calculator
